Id,year,month,day,precip,tmax,tmin,basin_cfs,runoff (same in datafile),delta_e
380,2003,10,15,0,71.7,35.4,1.063671,2.5,1.436329
381,2003,10,16,0,70.8,42.2,1.058623,2.4,1.341377
382,2003,10,17,0,70.5,42.3,1.054277,2.3,1.245723
383,2003,10,18,0,75.9,45,1.050423,2.4,1.349577
384,2003,10,19,0,78.4,48.9,1.046973,2.3,1.253027
385,2003,10,20,0,73.6,47.3,1.043851,2.3,1.256149
386,2003,10,21,0,75.2,46.5,1.041001,2.4,1.358999
387,2003,10,22,0,80.4,48,1.038373,2.1,1.061627
388,2003,10,23,0,75.3,47.9,1.035927,2.1,1.064073
389,2003,10,24,0,71.6,35.5,1.033633,2.1,1.066367
390,2003,10,25,0,60.7,31.9,1.031464,2.1,1.068536
391,2003,10,26,0,52.9,32.4,1.029398,2.1,1.070602
392,2003,10,27,0,62.1,36.7,1.027419,2.1,1.072581
393,2003,10,28,0,66.5,42.5,1.025512,2.1,1.074488
394,2003,10,29,0,68.4,46.3,1.023665,2.1,1.076335
395,2003,10,30,0,70.7,29.9,1.021869,2,0.978131
396,2003,10,31,0.24,38.9,22.7,1.022331,2.1,1.077669
397,2003,11,1,0.19,28,22.2,1.018405,2.2,1.181595
398,2003,11,2,0.01,31.9,18.5,1.016719,2.1,1.083281
399,2003,11,3,0.1,36.1,22.7,1.01587,2.2,1.18413
400,2003,11,4,0.07,35.4,18.3,1.013426,2.1,1.086574
401,2003,11,5,0,36.7,19.2,1.01181,2.2,1.18819
402,2003,11,6,0,36.1,18.8,1.010211,2.2,1.189789
403,2003,11,7,0,36.2,19.3,1.008628,2.1,1.091372
404,2003,11,8,0,43.3,20.8,1.00706,2,0.99294
405,2003,11,9,0,46.7,32,1.005517,2,0.994483
406,2003,11,10,0.03,46.2,30.8,1.003985,2,0.996015
407,2003,11,11,0.13,40.8,24.8,1.009769,1.9,0.890231
408,2003,11,12,0,48.1,25.6,1.000977,1.9,0.899023
409,2003,11,13,0.52,44.7,28.1,1.056641,2,0.943359
410,2003,11,14,0.1,38.2,28.8,1.002953,1.9,0.897047
411,2003,11,15,0,44.8,24.2,0.996688,1.9,0.903312
412,2003,11,16,0.04,44,28.4,1.010404,1.9,0.889596
413,2003,11,17,0,42.1,29.5,0.993752,1.9,0.906248
414,2003,11,18,0,46.2,25.8,0.992266,1.9,0.907734
